elink0,elink1,elink2,elink3,elink4,elink5,elink6,elink7,elink8,elink9,elink10,elink11
0,0,0,0,12,160,0,0,15,240,255,240
0,0,0,0,9,224,0,0,15,240,255,240
0,0,0,0,9,96,0,0,15,240,255,240
0,0,0,0,11,240,0,0,15,240,255,240
0,0,0,0,13,192,0,0,15,240,255,240
0,0,0,0,9,112,0,0,15,240,255,240
0,0,0,0,8,240,0,0,15,240,255,240
0,0,0,0,4,80,0,0,15,240,255,240
0,0,0,0,9,192,0,0,15,240,255,240
0,0,0,0,2,240,0,0,15,240,255,240
0,0,0,0,15,112,0,0,15,240,255,240
0,0,0,0,3,160,0,0,15,240,255,240
0,0,0,0,8,128,0,0,15,240,255,240
0,0,0,0,15,240,0,0,15,240,255,240
0,0,0,0,9,240,0,0,15,240,255,240
0,0,0,0,10,224,0,0,15,240,255,240
0,0,0,0,15,240,0,0,15,240,255,240
0,0,0,0,7,240,0,0,15,240,255,240
0,0,0,0,11,80,0,0,15,240,255,240
0,0,0,0,15,240,0,0,15,240,255,240
0,0,0,0,12,240,0,0,15,240,255,240
0,0,0,0,2,240,0,0,15,240,255,240
0,0,0,0,7,224,0,0,15,240,255,240
0,0,0,0,14,208,0,0,15,240,255,240
0,0,0,0,6,208,0,0,15,240,255,240
0,0,0,0,14,176,0,0,15,240,255,240
0,0,0,0,0,240,0,0,15,240,255,240
0,0,0,0,15,224,0,0,15,240,255,240
0,0,0,0,15,112,0,0,15,240,255,240
0,0,0,0,4,112,0,0,15,240,255,240
0,0,0,0,7,32,0,0,15,240,255,240
0,0,0,0,13,0,0,0,15,240,255,240
0,0,0,0,0,144,0,0,15,240,255,240
0,0,0,0,0,80,0,0,15,240,255,240
0,0,0,0,2,128,0,0,15,240,255,240
0,0,0,0,15,176,0,0,15,240,255,240
0,0,0,0,15,80,0,0,15,240,255,240
0,0,0,0,9,240,0,0,15,240,255,240
0,0,0,0,2,208,0,0,15,240,255,240
0,0,0,0,0,32,0,0,15,240,255,240
0,0,0,0,7,128,0,0,15,240,255,240
0,0,0,0,11,96,0,0,15,240,255,240
0,0,0,0,14,176,0,0,15,240,255,240
0,0,0,0,15,208,0,0,15,240,255,240
0,0,0,0,12,224,0,0,15,240,255,240
0,0,0,0,9,48,0,0,15,240,255,240
0,0,0,0,2,208,0,0,15,240,255,240
0,0,0,0,5,112,0,0,15,240,255,240
0,0,0,0,6,48,0,0,15,240,255,240
0,0,0,0,15,208,0,0,15,240,255,240
0,0,0,0,3,144,0,0,15,240,255,240
0,0,0,0,15,240,0,0,15,240,255,240
0,0,0,0,1,160,0,0,15,240,255,240
0,0,0,0,5,240,0,0,15,240,255,240
0,0,0,0,15,112,0,0,15,240,255,240
0,0,0,0,9,176,0,0,15,240,255,240
0,0,0,0,9,224,0,0,15,240,255,240
0,0,0,0,15,240,0,0,15,240,255,240
0,0,0,0,13,112,0,0,15,240,255,240
0,0,0,0,15,32,0,0,15,240,255,240
0,0,0,0,15,48,0,0,15,240,255,240
0,0,0,0,0,80,0,0,15,240,255,240
0,0,0,0,11,224,0,0,15,240,255,240
0,0,0,0,15,80,0,0,15,240,255,240
0,0,0,0,13,192,0,0,15,240,255,240
0,0,0,0,13,96,0,0,15,240,255,240
0,0,0,0,9,112,0,0,15,240,255,240
0,0,0,0,13,208,0,0,15,240,255,240
0,0,0,0,3,240,0,0,15,240,255,240
0,0,0,0,7,0,0,0,15,240,255,240
0,0,0,0,13,96,0,0,15,240,255,240
0,0,0,0,11,240,0,0,15,240,255,240
0,0,0,0,13,208,0,0,15,240,255,240
0,0,0,0,15,240,0,0,15,240,255,240
0,0,0,0,6,208,0,0,15,240,255,240
0,0,0,0,7,144,0,0,15,240,255,240
0,0,0,0,9,32,0,0,15,240,255,240
0,0,0,0,11,208,0,0,15,240,255,240
0,0,0,0,15,224,0,0,15,240,255,240
0,0,0,0,12,144,0,0,15,240,255,240
0,0,0,0,11,224,0,0,15,240,255,240
0,0,0,0,1,16,0,0,15,240,255,240
0,0,0,0,8,160,0,0,15,240,255,240
0,0,0,0,13,64,0,0,15,240,255,240
0,0,0,0,6,80,0,0,15,240,255,240
0,0,0,0,11,32,0,0,15,240,255,240
0,0,0,0,7,112,0,0,15,240,255,240
0,0,0,0,9,224,0,0,15,240,255,240
0,0,0,0,3,160,0,0,15,240,255,240
0,0,0,0,11,80,0,0,15,240,255,240
0,0,0,0,1,96,0,0,15,240,255,240
0,0,0,0,5,112,0,0,15,240,255,240
0,0,0,0,13,240,0,0,15,240,255,240
0,0,0,0,0,240,0,0,15,240,255,240
0,0,0,0,6,208,0,0,15,240,255,240
0,0,0,0,14,208,0,0,15,240,255,240
0,0,0,0,10,80,0,0,15,240,255,240
0,0,0,0,9,208,0,0,15,240,255,240
0,0,0,0,7,64,0,0,15,240,255,240
0,0,0,0,10,32,0,0,15,240,255,240
0,0,0,0,12,80,0,0,15,240,255,240
0,0,0,0,14,112,0,0,15,240,255,240
0,0,0,0,7,176,0,0,15,240,255,240
0,0,0,0,5,112,0,0,15,240,255,240
0,0,0,0,6,96,0,0,15,240,255,240
0,0,0,0,4,16,0,0,15,240,255,240
0,0,0,0,2,240,0,0,15,240,255,240
0,0,0,0,0,64,0,0,15,240,255,240
0,0,0,0,7,112,0,0,15,240,255,240
0,0,0,0,15,240,0,0,15,240,255,240
0,0,0,0,3,80,0,0,15,240,255,240
0,0,0,0,1,80,0,0,15,240,255,240
0,0,0,0,4,0,0,0,15,240,255,240
0,0,0,0,1,176,0,0,15,240,255,240
0,0,0,0,7,176,0,0,15,240,255,240
0,0,0,0,10,240,0,0,15,240,255,240
0,0,0,0,14,128,0,0,15,240,255,240
0,0,0,0,9,144,0,0,15,240,255,240
0,0,0,0,12,240,0,0,15,240,255,240
0,0,0,0,7,208,0,0,15,240,255,240
0,0,0,0,15,224,0,0,15,240,255,240
0,0,0,0,5,208,0,0,15,240,255,240
0,0,0,0,15,48,0,0,15,240,255,240
0,0,0,0,2,112,0,0,15,240,255,240
0,0,0,0,15,80,0,0,15,240,255,240
0,0,0,0,10,80,0,0,15,240,255,240
0,0,0,0,13,240,0,0,15,240,255,240
0,0,0,0,9,224,0,0,15,240,255,240
0,0,0,0,9,112,0,0,15,240,255,240
0,0,0,0,12,160,0,0,15,240,255,240
0,0,0,0,15,176,0,0,15,240,255,240
0,0,0,0,0,0,0,0,15,240,255,240
0,0,0,0,13,0,0,0,15,240,255,240
0,0,0,0,0,0,0,0,15,240,255,240
0,0,0,0,1,160,0,0,15,240,255,240
0,0,0,0,15,64,0,0,15,240,255,240
0,0,0,0,3,240,0,0,15,240,255,240
0,0,0,0,14,128,0,0,15,240,255,240
0,0,0,0,15,224,0,0,15,240,255,240
0,0,0,0,8,176,0,0,15,240,255,240
0,0,0,0,7,48,0,0,15,240,255,240
0,0,0,0,4,192,0,0,15,240,255,240
0,0,0,0,0,112,0,0,15,240,255,240
0,0,0,0,9,0,0,0,15,240,255,240
0,0,0,0,2,0,0,0,15,240,255,240
0,0,0,0,5,32,0,0,15,240,255,240
0,0,0,0,13,160,0,0,15,240,255,240
0,0,0,0,12,16,0,0,15,240,255,240
0,0,0,0,0,128,0,0,15,240,255,240
0,0,0,0,5,144,0,0,15,240,255,240
