elink6-0,elink6-1,elink5-0,elink5-1,elink4-0,elink4-1,elink3-0,elink3-1,elink2-0,elink2-1,elink1-0,elink1-1,elink0-0,elink0-1
255,125,255,255,16,255,255,255,255,255,255,0,0,0
255,215,255,255,32,255,255,255,255,255,255,0,0,0
255,125,255,255,136,255,255,255,255,255,255,0,0,0
255,125,255,255,72,255,255,255,255,255,255,0,0,0
255,215,255,255,0,255,255,255,255,255,255,0,0,0
255,125,255,255,2,255,255,255,255,255,255,0,0,0
255,125,255,255,16,255,255,255,255,255,255,0,0,0
255,215,255,255,16,255,255,255,255,255,255,0,0,0
255,125,255,255,224,255,255,255,255,255,255,0,0,0
255,215,255,255,16,255,255,255,255,255,255,0,0,0
255,215,255,255,137,255,255,255,255,255,255,0,0,0
255,125,255,255,5,255,255,255,255,255,239,0,0,0
255,125,255,255,17,255,255,255,255,255,255,0,0,0
255,215,255,255,41,255,255,255,255,255,255,0,0,0
255,125,255,255,0,255,255,255,255,255,255,0,0,0
255,125,255,255,6,255,255,255,255,255,255,0,0,0
255,215,255,255,81,255,255,255,255,255,255,0,0,0
255,125,255,255,0,255,255,255,255,255,255,0,0,0
255,215,255,255,128,255,255,255,255,255,255,0,0,0
255,215,255,255,0,255,255,255,255,255,255,0,0,0
255,60,255,255,9,255,255,255,255,255,255,0,0,0
255,195,255,255,0,255,255,255,255,255,255,0,0,0
255,190,255,255,136,255,255,255,255,255,255,0,0,0
255,190,255,255,128,255,255,255,255,255,255,0,0,0
255,235,255,255,0,255,255,255,255,255,255,0,0,0
255,190,255,255,16,255,255,255,255,255,255,0,0,0
255,235,255,255,8,255,255,255,255,255,255,0,0,0
255,235,255,255,0,255,255,255,255,255,255,0,0,0
255,190,255,255,128,255,255,255,255,255,255,0,0,0
255,190,255,255,128,255,255,255,255,255,255,0,0,0
255,235,255,255,16,255,255,255,255,255,255,0,0,0
255,190,255,255,0,255,255,255,255,255,255,0,0,0
255,235,255,255,132,255,255,255,255,255,255,0,0,0
255,235,255,255,128,255,255,255,255,255,255,0,0,0
255,190,255,255,84,255,255,255,255,255,255,0,0,0
255,190,255,255,4,255,255,255,255,255,255,0,0,0
255,235,255,255,8,255,255,255,255,255,255,0,0,0
255,190,255,255,136,255,255,255,255,255,255,0,0,0
255,235,255,255,149,255,255,255,255,255,255,0,0,0
255,235,255,255,168,255,255,255,255,255,255,0,0,0
255,190,255,255,8,255,255,255,255,255,255,0,0,0
255,235,255,255,65,255,255,255,255,255,255,0,0,0
255,235,255,255,9,255,255,255,255,255,255,0,0,0
255,190,255,255,68,255,255,255,255,255,255,0,0,0
255,225,255,255,9,255,255,255,255,255,255,0,0,0
255,31,255,255,0,255,255,255,255,255,255,0,0,0
255,95,255,255,24,255,255,255,255,255,255,0,0,0
255,245,255,255,72,255,255,255,255,255,255,0,0,0
255,95,255,255,17,255,255,255,255,255,255,0,0,0
255,245,255,255,17,255,255,255,255,255,255,0,0,0
255,95,255,255,0,255,255,255,255,255,255,0,0,0
255,245,255,255,0,255,255,255,255,255,255,0,0,0
255,245,255,255,18,255,255,255,255,255,255,0,0,0
255,95,255,255,72,255,255,255,255,255,255,0,0,0
255,245,255,255,68,255,255,255,255,255,255,0,0,0
255,95,255,255,8,255,255,255,255,255,255,0,0,0
255,95,255,255,0,255,255,255,255,255,255,0,0,0
255,245,255,255,148,255,255,255,255,255,255,0,0,0
255,95,255,255,0,255,255,255,255,255,255,0,0,0
255,245,255,255,144,255,255,255,255,255,255,0,0,0
255,245,255,255,40,255,255,255,255,255,255,0,0,0
255,95,255,255,128,255,255,255,255,255,255,0,0,0
255,245,255,255,144,255,255,255,255,255,255,0,0,0
255,245,255,255,128,255,255,255,255,255,255,0,0,0
255,95,255,255,20,255,255,255,255,255,255,0,0,0
255,245,255,255,73,255,255,255,255,255,255,0,0,0
255,95,255,255,16,255,255,255,255,255,255,0,0,0
255,95,255,255,8,255,255,255,255,255,255,0,0,0
255,245,255,255,16,255,255,255,255,255,255,0,0,0
255,95,255,255,16,255,255,255,255,255,255,0,0,0
255,244,255,255,16,255,255,255,255,255,255,0,0,0
255,240,255,255,0,255,255,255,255,255,255,0,0,0
255,175,255,255,130,255,255,255,255,255,255,0,0,0
255,250,255,255,220,255,255,255,255,255,255,0,0,0
255,175,255,255,4,255,255,255,255,255,255,0,0,0
255,175,255,255,0,255,255,255,255,255,255,0,0,0
255,250,255,255,8,255,255,255,255,255,255,0,0,0
255,175,255,255,0,255,255,255,255,255,255,0,0,0
255,175,255,255,9,255,255,255,255,255,255,0,0,0
255,250,255,255,8,255,255,255,255,255,255,0,0,0
255,175,255,255,132,255,255,255,255,255,255,0,0,0
255,250,255,255,128,255,255,255,255,255,255,0,0,0
255,250,255,255,0,255,255,255,255,255,255,0,0,0
255,175,255,255,146,255,255,255,255,255,255,0,0,0
255,250,255,255,9,255,255,255,255,255,255,0,0,0
255,175,255,255,3,255,255,255,255,255,255,0,0,0
255,175,255,255,128,255,255,255,255,255,255,0,0,0
255,250,255,255,132,255,255,255,255,255,255,0,0,0
255,175,255,255,0,255,255,255,255,255,255,0,0,0
255,250,255,255,80,255,255,255,255,255,255,0,0,0
255,250,255,255,0,255,255,255,255,255,255,0,0,0
255,175,255,255,68,255,255,255,255,255,255,0,0,0
255,250,255,255,128,255,255,255,255,255,255,0,0,0
255,250,255,255,8,255,255,255,255,255,255,0,0,0
255,175,255,255,68,255,255,255,255,255,255,0,0,0
255,250,255,255,20,255,255,255,255,255,255,0,0,0
255,175,255,255,0,255,255,255,255,255,255,0,0,0
255,167,255,255,0,255,255,255,255,255,255,0,0,0
255,120,255,255,12,255,255,255,255,255,255,0,0,0
255,215,255,255,17,255,255,255,255,255,255,0,0,0
255,125,255,255,20,255,255,255,255,255,255,0,0,0
255,125,255,255,8,255,255,255,255,255,255,0,0,0
255,215,255,255,1,255,255,255,255,255,255,0,0,0
255,125,255,255,1,255,255,255,255,255,255,0,0,0
255,215,255,255,4,255,255,255,255,255,255,0,0,0
255,215,255,255,0,255,255,255,255,255,255,0,0,0
255,125,255,255,0,255,255,255,255,255,255,0,0,0
255,215,255,255,0,255,255,255,255,255,255,0,0,0
255,215,255,255,0,255,255,255,255,255,255,0,0,0
255,125,255,255,146,255,255,255,255,255,255,0,0,0
255,215,255,255,64,255,255,255,255,255,255,0,0,0
255,125,255,255,80,255,255,255,255,255,255,0,0,0
255,125,255,255,0,255,255,255,255,255,255,0,0,0
255,215,255,255,26,255,255,255,255,255,255,0,0,0
255,125,255,255,0,255,255,255,255,255,255,0,0,0
255,215,255,255,4,255,255,255,255,255,255,0,0,0
255,215,255,255,64,255,255,255,255,255,255,0,0,0
255,125,255,255,144,255,255,255,255,255,255,0,0,0
255,215,255,255,0,255,255,255,255,255,255,0,0,0
255,125,255,255,1,255,255,255,255,255,255,0,0,0
255,125,255,255,176,255,255,255,255,255,255,0,0,0
255,215,255,255,0,255,255,255,255,255,255,0,0,0
255,125,255,255,1,255,255,255,255,255,255,0,0,0
255,215,255,255,8,255,255,255,255,255,255,0,0,0
255,215,255,255,69,255,255,255,255,255,255,0,0,0
255,190,255,255,16,255,255,255,255,255,255,0,0,0
255,235,255,255,0,255,255,255,255,255,255,0,0,0
255,235,255,255,20,255,255,255,255,255,255,0,0,0
255,190,255,255,8,255,255,255,255,255,255,0,0,0
255,235,255,255,164,255,255,255,255,255,255,0,0,0
255,190,255,255,136,255,255,255,255,255,255,0,0,0
255,190,255,255,17,255,255,255,255,255,255,0,0,0
255,235,255,255,64,255,255,255,255,255,255,0,0,0
255,190,255,255,12,255,255,255,255,255,255,0,0,0
255,235,255,255,0,255,255,255,255,255,255,0,0,0
255,235,255,255,8,255,255,255,255,255,255,0,0,0
255,190,255,255,8,255,255,255,255,255,255,0,0,0
255,235,255,255,44,255,255,255,255,255,255,0,0,0
255,190,255,255,8,255,255,255,255,255,255,0,0,0
255,190,255,255,128,255,255,255,255,255,255,0,0,0
255,235,255,255,1,255,255,255,255,255,255,0,0,0
255,190,255,255,4,255,255,255,255,255,255,0,0,0
255,190,255,255,1,255,255,255,255,255,255,0,0,0
255,235,255,255,16,255,255,255,255,255,255,0,0,0
255,190,255,255,128,255,255,255,255,255,255,0,0,0
255,235,255,255,0,255,255,255,255,255,255,0,0,0
255,235,255,255,10,255,255,255,255,255,255,0,0,0
255,190,255,255,16,255,255,255,255,255,255,0,0,0
255,235,255,255,0,255,255,255,255,255,255,0,0,0
255,190,255,255,8,255,255,255,255,255,255,0,0,0
255,190,255,255,9,255,255,255,255,255,255,0,0,0
255,225,255,255,80,255,255,255,255,255,255,0,0,0
255,95,255,255,152,255,255,255,255,255,255,0,0,0
255,245,255,255,144,255,255,255,255,255,255,0,0,0
255,245,255,255,136,255,255,255,255,255,255,0,0,0
255,95,255,255,0,255,255,255,255,255,255,0,0,0
255,245,255,255,65,255,255,255,255,255,255,0,0,0
