EDA-03992-V1-0_mounter-top.asc - Mounter for Project [EDA-03992-V1-0_project.PrjPCB] (PCB Document : EDA-03992-V1-0_pcb.pcbdoc)|

TOP Mounter List - 150 SMD Components on Top / 1771 Total Components - 07/05/2019 11:00:37
Units = INCH

Designator | Mid-X | Mid-Y | Rotation | Part_Number | Footprint
JS_JPU_TWO_1|0.96875|0.43121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_TWO_2|0.96875|1.93121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_TWO_3|1.8625|1.55621|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_TWO_4|1.8625|0.43121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_TWO_5|0.96875|1.18121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_TWO_6|1.8625|0.80621|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_TWO_7|1.8625|1.93121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_TWO_8|1.8625|1.18121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_TWO_9|2.75625|1.74371|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_TWO_10|2.75625|0.61871|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_TWO_11|2.75625|0.99371|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_TWO_12|3.65|0.43121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_TWO_13|3.65|1.55621|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_TWO_14|3.65|1.93121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_TWO_15|3.65|1.18121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_TWO_16|0.96875|0.61871|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_TWO_17|0.96875|1.74371|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_TWO_18|1.8625|1.36871|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_TWO_19|1.8625|0.24371|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_TWO_20|0.96875|0.99371|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_TWO_21|1.8625|0.61871|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_TWO_22|1.8625|1.74371|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_TWO_23|1.8625|0.99371|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_TWO_24|2.75625|1.18121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_TWO_25|2.75625|0.43121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_TWO_26|2.75625|0.80621|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_TWO_27|3.65|0.24371|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_TWO_28|3.65|1.36871|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_TWO_29|3.65|1.74371|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_TWO_30|3.65|0.99371|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ZERO_1|7.21875|0.61879|180|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ZERO_2|7.21875|2.11879|180|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ZERO_3|8.10625|1.74379|180|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ZERO_4|8.10625|0.61879|180|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ZERO_5|8.10625|2.11879|180|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ZERO_6|8.10625|0.24379|180|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ZERO_7|9|0.80629|180|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ZERO_8|9|2.11879|180|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ZERO_9|9|0.43129|180|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ZERO_10|9|1.93129|180|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ZERO_11|9|1.55629|180|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ZERO_12|9.89375|1.55621|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ZERO_13|9.89375|0.80629|180|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ZERO_14|9.89375|0.43129|180|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ZERO_15|9.89375|1.18129|180|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ZERO_16|7.21875|0.43129|180|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ZERO_17|7.21875|1.93129|180|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ZERO_18|8.10625|1.18129|180|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ZERO_19|8.10625|0.43129|180|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ZERO_20|8.10625|1.93129|180|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ZERO_21|7.21875|0.24379|180|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ZERO_22|9|0.99379|180|HARWIN_S9121-45R|HARWIN_S9121-45R
